strName,strDistrict,strState,chrStatus
690103,ALAPPUZHA,KERALA,N
688565,ALAPPUZHA,KERALA,N
688002,ALAPPUZHA,KERALA,N
688007,ALAPPUZHA,KERALA,N
688012,ALAPPUZHA,KERALA,N
688001,ALAPPUZHA,KERALA,N
688011,ALAPPUZHA,KERALA,N
688001,ALAPPUZHA,KERALA,N
688011,ALAPPUZHA,KERALA,N
688005,ALAPPUZHA,KERALA,N
688011,ALAPPUZHA,KERALA,N
688561,ALAPPUZHA,KERALA,N
688006,ALAPPUZHA,KERALA,N
688011,ALAPPUZHA,KERALA,N
688561,ALAPPUZHA,KERALA,N
688005,ALAPPUZHA,KERALA,N
688522,ALAPPUZHA,KERALA,N
688005,ALAPPUZHA,KERALA,N
688007,ALAPPUZHA,KERALA,N
688564,ALAPPUZHA,KERALA,N
688546,ALAPPUZHA,KERALA,N
688006,ALAPPUZHA,KERALA,N
688007,ALAPPUZHA,KERALA,N
688006,ALAPPUZHA,KERALA,N
688011,ALAPPUZHA,KERALA,N
688538,ALAPPUZHA,KERALA,N
688521,ALAPPUZHA,KERALA,N
688009,ALAPPUZHA,KERALA,N
688567,ALAPPUZHA,KERALA,N
688538,ALAPPUZHA,KERALA,N
688014,ALAPPUZHA,KERALA,N
688004,ALAPPUZHA,KERALA,N
690551,ALAPPUZHA,KERALA,N
688003,ALAPPUZHA,KERALA,N
688013,ALAPPUZHA,KERALA,N
688563,ALAPPUZHA,KERALA,N
688008,ALAPPUZHA,KERALA,N
688003,ALAPPUZHA,KERALA,N
688002,ALAPPUZHA,KERALA,N
688006,ALAPPUZHA,KERALA,N
688005,ALAPPUZHA,KERALA,N
688013,ALAPPUZHA,KERALA,N
689126,ALAPPUZHA,KERALA,N
689122,ALAPPUZHA,KERALA,N
689505,ALAPPUZHA,KERALA,N
689510,ALAPPUZHA,KERALA,N
689121,ALAPPUZHA,KERALA,N
689121,ALAPPUZHA,KERALA,N
689511,ALAPPUZHA,KERALA,N
689123,ALAPPUZHA,KERALA,N
689511,ALAPPUZHA,KERALA,N
689624,ALAPPUZHA,KERALA,N
689109,ALAPPUZHA,KERALA,N
689622,ALAPPUZHA,KERALA,N
689124,ALAPPUZHA,KERALA,N
689504,ALAPPUZHA,KERALA,N
689508,ALAPPUZHA,KERALA,N
690509,ALAPPUZHA,KERALA,N
689504,ALAPPUZHA,KERALA,N
689521,ALAPPUZHA,KERALA,N
689625,ALAPPUZHA,KERALA,N
689508,ALAPPUZHA,KERALA,N
689622,ALAPPUZHA,KERALA,N
689505,ALAPPUZHA,KERALA,N
689124,ALAPPUZHA,KERALA,N
689508,ALAPPUZHA,KERALA,N
690510,ALAPPUZHA,KERALA,N
689124,ALAPPUZHA,KERALA,N
689622,ALAPPUZHA,KERALA,N
689520,ALAPPUZHA,KERALA,N
689505,ALAPPUZHA,KERALA,N
689624,ALAPPUZHA,KERALA,N
689126,ALAPPUZHA,KERALA,N
689122,ALAPPUZHA,KERALA,N
689520,ALAPPUZHA,KERALA,N
689510,ALAPPUZHA,KERALA,N
689509,ALAPPUZHA,KERALA,N
689123,ALAPPUZHA,KERALA,N
689511,ALAPPUZHA,KERALA,N
689109,ALAPPUZHA,KERALA,N
689125,ALAPPUZHA,KERALA,N
689509,ALAPPUZHA,KERALA,N
688531,ALAPPUZHA,KERALA,N
688535,ALAPPUZHA,KERALA,N
688530,ALAPPUZHA,KERALA,N
688547,ALAPPUZHA,KERALA,N
688524,ALAPPUZHA,KERALA,N
688524,ALAPPUZHA,KERALA,N
688552,ALAPPUZHA,KERALA,N
688530,ALAPPUZHA,KERALA,N
688587,ALAPPUZHA,KERALA,N
688548,ALAPPUZHA,KERALA,N
688550,ALAPPUZHA,KERALA,N
688529,ALAPPUZHA,KERALA,N
688524,ALAPPUZHA,KERALA,N
688544,ALAPPUZHA,KERALA,N
688527,ALAPPUZHA,KERALA,N
688527,ALAPPUZHA,KERALA,N
688556,ALAPPUZHA,KERALA,N
688583,ALAPPUZHA,KERALA,N
688539,ALAPPUZHA,KERALA,N
688533,ALAPPUZHA,KERALA,N
688558,ALAPPUZHA,KERALA,N
688549,ALAPPUZHA,KERALA,N
688545,ALAPPUZHA,KERALA,N
688539,ALAPPUZHA,KERALA,N
688525,ALAPPUZHA,KERALA,N
688527,ALAPPUZHA,KERALA,N
688559,ALAPPUZHA,KERALA,N
688526,ALAPPUZHA,KERALA,N
688541,ALAPPUZHA,KERALA,N
688584,ALAPPUZHA,KERALA,N
688566,ALAPPUZHA,KERALA,N
688540,ALAPPUZHA,KERALA,N
688531,ALAPPUZHA,KERALA,N
688570,ALAPPUZHA,KERALA,N
688526,ALAPPUZHA,KERALA,N
688523,ALAPPUZHA,KERALA,N
688582,ALAPPUZHA,KERALA,N
688554,ALAPPUZHA,KERALA,N
688527,ALAPPUZHA,KERALA,N
688540,ALAPPUZHA,KERALA,N
688557,ALAPPUZHA,KERALA,N
688532,ALAPPUZHA,KERALA,N
688532,ALAPPUZHA,KERALA,N
688528,ALAPPUZHA,KERALA,N
688581,ALAPPUZHA,KERALA,N
688535,ALAPPUZHA,KERALA,N
688532,ALAPPUZHA,KERALA,N
688543,ALAPPUZHA,KERALA,N
688555,ALAPPUZHA,KERALA,N
688536,ALAPPUZHA,KERALA,N
688587,ALAPPUZHA,KERALA,N
688534,ALAPPUZHA,KERALA,N
690517,ALAPPUZHA,KERALA,N
690513,ALAPPUZHA,KERALA,N
690515,ALAPPUZHA,KERALA,N
690565,ALAPPUZHA,KERALA,N
690517,ALAPPUZHA,KERALA,N
690507,ALAPPUZHA,KERALA,N
690563,ALAPPUZHA,KERALA,N
